reviewID,customerID,productID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
30,84,6,2024-03-18,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
31,93,4,2025-08-25,3,"Good quality, but could be  cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
32,91,1,2023-07-15,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
33,30,2,2023-02-21,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
34,81,15,2024-03-30,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
35,27,12,2024-03-13,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
36,96,9,2025-12-05,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
37,38,3,2023-09-11,3,"Average experience, nothing  special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
38,45,17,2024-05-07,5,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
39,54,1,2023-10-02,5,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
40,33,2,2025-01-03,5,Five stars  for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
41,93,17,2025-05-15,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
42,72,15,2023-03-21,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
43,84,15,2025-02-02,4,Exceeded my  expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
44,44,17,2023-04-20,5,"Excellent product,  highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
45,11,16,2023-03-23,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
46,27,5,2025-05-07,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
47,19,13,2024-06-01,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
48,70,17,2023-10-08,4,Shipping was fast and the item  was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
49,3,7,2025-06-09,3,"Good quality, but could  be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
50,62,4,2023-01-07,1,The product stopped working after a month.,-0.2263,Negative,Mildly Negative (-0.5 to -0.05)
51,49,17,2023-04-14,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
52,75,11,2024-04-07,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
53,73,18,2025-12-28,4,Five stars for  the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
54,33,8,2023-05-03,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
55,57,9,2025-11-03,3,Customer support was  very helpful.,0.6997,partially positive,Strongly Postive (0.50 to 1.00)
56,15,10,2025-12-11,3,Shipping was fast and the item was well-packaged.,0.0,Neutral,Neutral (-0.05 to 0.05)
57,41,10,2024-04-06,2,Disappointed with the performance.,-0.4767,Negative,Mildly Negative (-0.5 to -0.05)
58,78,7,2024-07-16,2,"The product  is okay, but the instructions were unclear.",-0.2617,Negative,Mildly Negative (-0.5 to -0.05)
59,98,9,2024-09-01,4,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
60,11,16,2023-12-27,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
61,50,19,2023-02-24,4,"Great purchase,  very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
62,35,17,2023-03-18,2,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
63,93,2,2025-01-05,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
64,86,11,2025-10-30,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
65,34,3,2024-06-15,1,Not worth the money.,-0.1695,Negative,Mildly Negative (-0.5 to -0.05)
66,94,16,2023-06-17,4,"I love this product, will buy  again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
67,67,13,2025-04-12,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
68,38,7,2023-03-23,3,"The product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
69,77,12,2025-08-03,3,Five stars for the quick delivery.,0.0,Neutral,Neutral (-0.05 to 0.05)
70,93,5,2024-01-30,4,Shipping was fast  and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
71,24,11,2025-07-28,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
72,29,4,2023-05-29,5,The  build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
73,68,19,2025-05-05,5,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
74,59,9,2023-05-16,3,"The product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
75,22,3,2024-01-13,5,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
76,9,10,2025-08-31,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
77,74,5,2023-03-15,4,"Great purchase,  very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
78,6,10,2024-12-09,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
79,84,15,2024-05-28,2,The product arrived  late.,0.0,Negative,Neutral (-0.05 to 0.05)
80,98,16,2025-05-24,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
81,3,19,2024-09-04,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
82,78,13,2023-05-02,4,Shipping  was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
83,32,11,2025-05-26,4,The quality is  top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
84,40,20,2023-07-17,4,"Good quality, but could be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
85,17,6,2025-10-25,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
86,78,3,2025-10-06,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
87,89,17,2023-05-26,3,Not  worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
88,93,19,2025-08-26,4,Exceeded my expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
89,60,3,2024-07-08,3,The quality is top-notch.,0.0,Neutral,Neutral (-0.05 to 0.05)
90,47,17,2025-11-12,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
91,4,16,2025-09-27,3,"Great purchase, very satisfied.",0.8016,partially positive,Strongly Postive (0.50 to 1.00)
92,2,16,2023-11-21,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
93,60,13,2024-09-05,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
94,2,16,2025-03-14,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
95,16,16,2024-04-07,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
96,19,13,2023-09-02,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
97,64,6,2024-01-19,3,"The product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
98,96,3,2025-11-20,5,Exceeded my expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
99,79,16,2025-01-29,2,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
100,9,2,2025-06-20,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
101,61,18,2024-09-11,5,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
102,4,2,2025-08-22,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
103,82,14,2024-11-17,5,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
104,96,5,2023-01-06,4,"I love  this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
105,32,12,2024-08-27,2,The product  arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
106,94,17,2024-02-25,2,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
107,26,10,2025-02-17,5,Five stars for  the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
108,80,17,2023-12-22,5,Five stars for the  quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
109,38,10,2023-07-25,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
110,54,12,2024-08-02,4,Customer  support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
111,43,7,2023-11-05,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
112,87,3,2023-05-26,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
113,27,9,2024-03-31,2,Disappointed with the performance.,-0.4767,Negative,Mildly Negative (-0.5 to -0.05)
114,52,19,2025-05-04,2,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
115,82,9,2023-09-28,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
116,70,18,2023-07-23,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
117,20,14,2025-04-19,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
118,59,6,2024-05-01,1,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
119,34,5,2025-09-06,4,"Great purchase, very  satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
120,3,20,2024-08-18,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
121,91,1,2025-11-02,2,"Good quality, but could be cheaper.",0.2382,Partially negative,Mildly Postive (0.05 to 0.50)
122,83,14,2024-09-27,2,Not worth the money.,-0.1695,Negative,Mildly Negative (-0.5 to -0.05)
123,93,1,2025-09-22,4,"Good quality, but could be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
124,36,16,2023-07-17,5,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
125,55,11,2025-12-20,5,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
126,32,10,2024-08-12,5,Exceeded my expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
127,47,8,2025-03-25,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
128,71,20,2023-12-13,2,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
129,46,13,2025-02-14,4,"Good quality, but could be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
130,88,3,2025-09-22,5,"Great  purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
131,42,5,2023-06-16,5,Amazing value for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
132,21,7,2025-11-13,2,Product did not meet my expectations.,0.0,Negative,Neutral (-0.05 to 0.05)
133,40,4,2025-05-24,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
134,74,4,2024-03-27,3,"Good quality, but could  be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
135,48,14,2023-06-08,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
136,17,3,2025-03-27,5,Amazing value for  the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
137,88,6,2023-03-02,4,"Good quality, but could  be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
138,28,15,2023-01-18,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
139,36,16,2023-04-20,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
140,53,18,2023-12-03,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
141,98,9,2024-10-15,5,Amazing value for the  price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
142,15,7,2023-08-04,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
143,3,12,2023-04-12,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
144,27,15,2025-08-16,4,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
145,27,10,2024-03-05,3,"The  product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
146,5,13,2025-01-09,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
147,100,20,2025-01-25,2,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
148,17,18,2024-11-05,1,"Average experience, nothing special.",-0.3089,Negative,Mildly Negative (-0.5 to -0.05)
149,50,3,2023-12-20,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
150,4,15,2024-06-18,5,"I love this product, will buy  again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
151,21,19,2023-10-30,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
152,32,16,2025-12-15,3,"Good quality, but  could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
153,95,11,2023-11-06,5,Amazing value for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
154,3,12,2023-12-19,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
155,89,3,2025-12-10,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
156,5,7,2025-01-26,5,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
157,10,17,2025-10-14,2,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
158,37,2,2024-04-16,5,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
159,23,12,2023-09-01,5,"I love this product,  will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
160,71,9,2024-01-02,2,Not worth the money.,-0.1695,Negative,Mildly Negative (-0.5 to -0.05)
161,9,18,2025-08-05,2,The product arrived  late.,0.0,Negative,Neutral (-0.05 to 0.05)
162,64,20,2023-07-25,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
163,89,7,2023-05-27,5,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
164,25,19,2024-03-16,2,Product did not  meet my expectations.,0.0,Negative,Neutral (-0.05 to 0.05)
165,97,3,2025-06-03,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
166,87,3,2023-11-01,3,"Good  quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
167,28,16,2023-08-02,2,Product did not meet  my expectations.,0.0,Negative,Neutral (-0.05 to 0.05)
168,72,2,2025-12-13,3,Customer support was very helpful.,0.6997,partially positive,Strongly Postive (0.50 to 1.00)
169,26,8,2025-09-28,5,Five stars for the quick  delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
170,53,13,2024-06-23,5,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
171,2,16,2024-02-16,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
172,79,2,2024-11-23,3,Not worth the money.,-0.1695,Partially negative,Mildly Negative (-0.5 to -0.05)
173,15,16,2025-05-30,5,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
174,91,8,2024-06-23,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
175,3,6,2024-11-02,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
176,21,11,2023-11-23,3,"The product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
177,93,19,2025-07-03,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
178,17,20,2025-05-25,4,The quality is  top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
179,46,20,2025-11-26,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
180,77,5,2023-03-08,4,"Great purchase,  very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
181,4,3,2024-08-09,4,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
182,21,11,2024-03-08,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
183,13,5,2025-06-08,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
184,59,5,2024-12-29,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
185,8,6,2023-11-13,2,Product did not meet my expectations.,0.0,Negative,Neutral (-0.05 to 0.05)
186,22,13,2023-02-17,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
187,58,18,2025-05-01,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
188,70,5,2025-09-19,5,Exceeded my expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
189,83,7,2025-03-13,2,The product  arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
190,83,3,2023-08-10,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
191,68,3,2024-09-05,4,"Great purchase,  very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
192,42,17,2023-08-04,5,"Excellent product, highly recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
193,84,20,2024-06-21,3,"The product is okay, but the instructions were  unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
194,7,7,2025-05-19,1,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
195,75,5,2023-10-25,5,Amazing value for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
196,91,2,2023-10-29,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
197,51,15,2024-11-27,4,"I love this product,  will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
198,57,8,2023-08-27,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
199,6,13,2024-08-20,5,The  quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
200,30,17,2025-01-09,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
201,59,6,2023-05-23,2,Not worth the money.,-0.1695,Negative,Mildly Negative (-0.5 to -0.05)
202,33,9,2023-09-06,5,Amazing value for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
203,66,18,2023-11-22,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
204,95,14,2024-11-29,4,"Great purchase, very  satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
205,88,12,2023-04-06,5,Amazing value for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
206,72,14,2023-08-22,4,Shipping was fast and the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
207,95,18,2025-06-07,4,"I love this product, will buy again!",0.6696,Postive,Strongly Postive (0.50 to 1.00)
208,94,8,2023-03-25,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
209,70,8,2025-11-05,3,"Average experience, nothing special.",-0.3089,Partially negative,Mildly Negative (-0.5 to -0.05)
210,28,1,2023-12-10,2,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
211,84,12,2025-03-07,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
212,87,10,2023-01-03,1,"Terrible customer service, would not buy again.",-0.4767,Negative,Mildly Negative (-0.5 to -0.05)
213,7,13,2024-04-09,5,Shipping was fast and  the item was well-packaged.,0.0,Positive,Neutral (-0.05 to 0.05)
214,53,18,2025-04-13,3,Five stars for the quick delivery.,0.0,Neutral,Neutral (-0.05 to 0.05)
215,55,10,2024-01-07,2,Product did not meet my expectations.,0.0,Negative,Neutral (-0.05 to 0.05)
216,49,7,2023-11-14,3,"The product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
217,62,11,2023-08-19,5,Amazing value  for the price.,0.7351,Postive,Strongly Postive (0.50 to 1.00)
218,35,8,2024-09-14,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
219,90,9,2023-02-18,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
220,78,9,2025-08-12,2,Disappointed with the performance.,-0.4767,Negative,Mildly Negative (-0.5 to -0.05)
221,26,2,2024-10-21,4,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
222,54,14,2024-02-28,5,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
223,37,16,2023-07-31,5,Exceeded my expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
224,68,15,2023-03-27,4,"Great purchase,  very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
225,80,1,2025-09-08,3,"The product is okay, but the instructions were unclear.",-0.2617,Partially negative,Mildly Negative (-0.5 to -0.05)
226,60,9,2023-08-23,2,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
227,74,11,2024-08-10,4,"Good  quality, but could be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
228,20,19,2025-10-23,2,"The product is okay, but the instructions were unclear.",-0.2617,Negative,Mildly Negative (-0.5 to -0.05)
229,69,12,2023-02-07,4,The  quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
230,54,11,2023-10-19,2,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
231,15,16,2025-04-15,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
232,17,3,2025-10-11,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
233,81,4,2024-11-14,2,The product arrived late.,0.0,Negative,Neutral (-0.05 to 0.05)
234,80,9,2023-03-06,5,The build quality is impressive.,0.5106,Postive,Strongly Postive (0.50 to 1.00)
235,54,3,2024-03-18,4,Customer support was very helpful.,0.6997,Postive,Strongly Postive (0.50 to 1.00)
236,55,16,2025-03-03,5,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
237,44,2,2025-09-29,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
238,47,9,2023-04-18,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
239,45,9,2024-01-28,5,Exceeded my expectations!,0.0,Positive,Neutral (-0.05 to 0.05)
240,20,16,2024-11-09,5,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
241,61,15,2024-04-22,4,Five stars for the quick delivery.,0.0,Positive,Neutral (-0.05 to 0.05)
242,20,20,2025-06-07,4,The quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
243,24,11,2023-02-17,1,I had a bad experience with this product.,-0.5423,Negative,Strongly Negative (-1.00 to -0.5)
244,36,4,2023-08-25,4,"Great purchase, very satisfied.",0.8016,Postive,Strongly Postive (0.50 to 1.00)
245,50,3,2023-03-23,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
246,71,12,2023-07-23,4,The  quality is top-notch.,0.0,Positive,Neutral (-0.05 to 0.05)
247,28,6,2025-11-24,5,"Excellent product, highly  recommend!",0.7773,Postive,Strongly Postive (0.50 to 1.00)
248,81,6,2023-07-15,3,"Good quality, but could be cheaper.",0.2382,partially positive,Mildly Postive (0.05 to 0.50)
249,75,2,2023-01-04,1,"Not  satisfied, the product broke after a week.",-0.6288,Negative,Strongly Negative (-1.00 to -0.5)
250,22,11,2023-09-21,1,The product stopped working after a month.,-0.2263,Negative,Mildly Negative (-0.5 to -0.05)
251,16,2,2024-02-01,4,"Good quality, but could be cheaper.",0.2382,Postive,Mildly Postive (0.05 to 0.50)
